Temperature,Humidity,Moisture,Soil Type,Crop Type,Nitrogen,Potassium,Phosphorous,Fertilizer Name
10.8,39.3,21.2,clay,beans,162.4,152.9,51.5,No Fertilizer Needed
22.7,22.1,20.9,red,maize,80.0,44.9,40.0,DAP
26.3,35.4,39.5,alluvial,beans,124.4,114.5,40.0,No Fertilizer Needed
18.3,35.1,48.2,loamy,onion,90.0,61.9,40.0,Urea
17.9,23.0,33.0,red,grapes,60.0,80.0,40.0,10-26-26
28.6,80.3,38.9,alluvial,banana,114.2,200.0,40.0,10-26-26
35.7,80.7,29.0,clay,banana,124.2,200.0,58.5,10-26-26
30.1,69.1,44.2,sandy,grapes,60.0,80.0,40.0,10-26-26
23.9,38.9,56.3,sandy,soybean,52.0,40.0,40.0,DAP
34.7,76.4,30.1,sandy,wheat,100.0,46.5,50.0,Urea
29.7,47.7,55.7,sandy,mango,60.0,40.0,30.0,DAP
17.9,60.9,54.9,red,sweet potato,60.0,98.8,40.0,DAP
12.7,23.3,15.5,black,sorghum,114.9,120.0,47.2,No Fertilizer Needed
21.4,89.7,36.5,black,maize,151.0,64.5,49.8,No Fertilizer Needed
36.5,72.6,48.4,alluvial,cotton,90.0,56.2,45.0,DAP
36.3,38.4,35.0,alluvial,rice,120.0,120.3,60.0,Urea
25.2,33.9,28.7,alluvial,banana,100.0,200.0,47.9,10-26-26
19.7,21.4,56.5,red,rice,120.0,52.3,60.0,DAP
36.3,86.3,14.3,sandy,wheat,100.0,55.2,50.0,DAP
29.8,86.3,18.3,sandy,sugarcane,150.0,64.4,60.0,Urea
30.7,69.9,29.9,alluvial,sweet potato,111.0,123.0,40.0,No Fertilizer Needed
17.4,24.5,11.1,clay,chickpea,137.8,53.3,47.5,No Fertilizer Needed
16.9,83.4,53.0,clay,beans,72.6,127.8,40.0,No Fertilizer Needed
14.0,85.5,38.6,red,tomato,100.0,100.0,50.0,Urea
12.9,50.2,31.2,clay,tomato,126.0,128.3,53.8,No Fertilizer Needed
11.8,71.0,50.0,clay,beans,77.8,112.8,40.0,No Fertilizer Needed
15.5,52.4,53.7,black,sugarcane,150.0,178.6,60.0,Urea
29.6,57.8,10.7,clay,cotton,90.0,79.1,54.9,Urea
24.4,80.5,55.1,black,onion,90.0,115.7,40.0,DAP
22.7,87.0,59.8,loamy,chickpea,92.0,46.6,40.0,No Fertilizer Needed
39.1,60.5,37.1,sandy,banana,100.0,200.0,40.0,10-26-26
14.7,87.3,14.0,red,sorghum,80.0,77.1,40.0,Urea
13.6,82.3,22.3,black,soybean,111.4,119.6,40.7,No Fertilizer Needed
25.7,85.4,20.2,red,coffee,100.0,60.0,40.0,DAP
19.0,42.1,47.6,alluvial,pigeon peas,52.6,131.9,40.0,No Fertilizer Needed
26.1,55.4,16.6,clay,cotton,110.1,80.0,45.0,DAP
23.1,58.0,25.1,sandy,banana,100.0,200.0,40.0,10-26-26
19.0,66.4,56.9,red,pigeon peas,40.6,38.7,40.0,DAP
18.2,62.3,45.9,sandy,sweet potato,60.0,80.0,40.0,10-26-26
37.2,79.2,14.6,loamy,pearl millet,80.1,35.3,30.0,DAP
39.4,31.3,32.1,alluvial,sugarcane,150.0,60.0,60.0,DAP
11.1,45.8,37.6,red,sugarcane,150.0,60.0,60.0,Urea
16.3,37.5,15.1,loamy,wheat,112.2,65.5,50.0,DAP
14.6,85.1,53.2,alluvial,tea,140.7,121.3,43.1,No Fertilizer Needed
32.1,43.3,56.5,sandy,rice,120.0,57.5,60.0,Urea
33.6,27.6,53.6,sandy,groundnut,59.6,57.7,40.0,DAP
19.2,75.7,21.4,loamy,chickpea,44.1,59.6,40.0,DAP
20.5,55.7,44.0,loamy,maize,117.9,37.1,40.0,DAP
27.4,88.8,11.9,sandy,groundnut,47.8,56.4,40.0,DAP
